Name of College,Type,State,Population Density,Enrollment,Asian,African American,Caucasian,Hispanic,Native American,Pacific Islander,Graduate in 4 years,Graduate in 6 years,Average high school GPA,SAT Math Range,SAT English Reading Wrting,ACT Range,English Units,Math Units,Science Units,Science Lab Units,World Language Units,Social Studies Units,Applicants,Admissions Rate,Enrollment Rate,Accepts Common App,"Early Decision, Admit, Priority",Early Due Date,Regular Due Date,Annual Tuition,Room and Board,Requires CSS,Average Cumulative Debt,PLUS Debt Ratio,Net Present Value (10 Years)
Colorado College,,Colorado,2388,2091,4.00%,3%,66%,9%,1%,1%,82%,88%,3.92,760,730,29-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,8223,15%,44%,,Priority,1/15/2025,1/15/2025,$52380,,Yes,$20742,,$10000
Colorado School of Mines,,Colorado,2077,4757,5.00%,1%,73%,8%,1%,1%,55%,79%,3.80,740,710,28-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",1,3,10619,56%,19%,,Priority,11/15/2025,4/1/2025,$35220,$11897,No,$32901,,$203000
Colorado State University (Fort Collins),,Colorado,2942,25278,3.00%,2%,71%,14%,1%,1%,46%,71%,3.60,640,640,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",1,3,24496,84%,26%,Yes,Priority,2/1/2025,7/1/2025,$27327,$11964,No,$25391,,$100000
Columbia University,,New York,28211,6231,22.00%,12%,34%,12%,2%,,88%,95%,4.00,800,780,32-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,37389,6%,62%,Yes,,,1/1/2025,$54504,$13618,Yes,$25167,,$208000
Concordia College (MN),,Minnesota,1930,1967,2.00%,2%,83%,2%,1%,1%,67%,70%,3.60,650,690,22-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,4539,62%,20%,Yes,,,9/10/2025,$39650,$8230,No,$39803,,$71000
Connecticut College,,Conneticut ,4720,1766,4.00%,4%,71%,8%,1%,1%,80%,85%,3.80,690,710,29-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,5434,38%,22%,,,,1/1/2025,$50940,,Yes,$27542,,$64000
The Cooper Union for the Advancement of Science and Art,,New York,28211,853,20.00%,3%,31%,10%,0%,0%,62%,83%,3.60,790,740,28-34,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",3,1,2574,13%,61%,,Priority,12/1/2025,1/9/2025,$44550,$16638,No,$21919,,$161000
Cornell College (IA),,Iowa,1291,1015,4.00%,6%,68%,8%,2%,1%,68%,74%,3.50,650,670,23-30,4.0,,"Biology, Chemistry, Physics",Biology,2,3,2532,61%,19%,Yes,,,,$43550,$9760,No,$31142,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$47000
Cornell University,,New York,5708,14815,19.00%,7%,38%,13%,1%,1%,85%,93%,3.90,790,760,31-34,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,27039,22%,56%,Yes,,,1/2/2025,$52612,$14380,Yes,$23389,,$160000
Creighton University,,Nebraska,3378,4212,9.00%,3%,71%,8%,1%,1%,73%,81%,3.80,650,640,25-30,4.0,,"Biology, Chemistry",Biology,2,2,9727,72%,16%,,Priority,12/1/2025,2/15/2025,$38200,$110036,No,$35921,,$83000
Dartmouth College,,New Hampshire,220,4340,15.00%,7%,50%,10%,2%,1%,88%,96%,3.90,790,770,30-34,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,20035,10%,58%,,,,1/1/2025,$51468,$15159,No,$17849,,$146000
Denison University,,Ohio,1206,2368,4.00%,6%,63%,9%,0%,1%,82%,85%,3.60,710,670,28-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,8042,34%,24%,Yes,Priority,1/15/2025,1/15/2025,$52620,$13050,Yes,$31551,,$74000
De Sales University,,Pennsylvania,673,2295,3.00%,4%,72%,13%,0%,1%,62%,70%,3.30,610,610,23-27,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,2979,73%,19%,,Priority,3/1/2025,8/1/2025,$34850,,No,$15189,,$64000
Depaul University,,Illinois,11841,14591,9.00%,8%,53%,19%,1%,1%,59%,71%,3.60,640,670,22-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,1,22502,69%,16%,Yes,Priority,11/15/2025,2/1/2025,$38410,$13387,No,$29932,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$60000
Depauw Universty,,Indiana,2004,2137,4.00%,5%,66%,7%,1%,0%,76%,81%,3.80,680,650,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,5173,67%,17%,Yes,Decision,11/1/2025,2/1/2025,$47026,$12529,No,$25990,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$100000
Dickinson College,,Pennsylvania,3481,2339,4.00%,5%,66%,8%,1%,1%,80%,83%,3.77,720,700,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,5941,49%,21%,Yes,,,1/15/2025,$51205,,Yes,$26908,,$83000
Dominican University of California,,California,3558,1284,26.00%,5%,32%,21%,1%,1%,61%,72%,3.70,595,620,20-25,4.0,,"Biology, Chemistry",Biology,2,2,1867,76%,17%,Yes,,,8/26/2025,$32964,$10241,No,$28387,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$54000
Drake University,,Iowa,2200,3038,3.00%,5%,78%,5%,1%,0%,73%,79%,3.70,690,660,24-30,4.0,,"Biology, Chemistry",Biology,2,4,5574,69%,20%,Yes,Priority,3/1/2025,4/15/2025,$41250,$10158,No,$33649,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$92000
Drexel University,,Pennsylvania,11797,15409,16.00%,7%,52%,6%,1%,1%,24%,71%,3.70,690,670,24-30,4.0,,Biology,Biology,1,1,28454,79%,15%,Yes,,,1/15/2025,$49632,$13890,Yes,,,$84000
Duke University,,North Carolina,2108,6548,21.00%,10%,44%,9%,1%,1%,87%,95%,4.00,800,780,31-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,33077,10%,48%,Yes,Priority,12/20/2025,1/3/2025,$53760,$17412,Yes,$23819,,$173000
Duquesne University ,,Pennsylvania,5461,5930,3.00%,5%,80%,4%,1%,1%,68%,79%,3.70,630,640,24-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,7336,72%,30%,,Priority,11/1/2025,7/1/2025,$36394,$12114,No,$41272,,$91000
Elizabethtown College,,Pennsylvania,4369,1645,3.00%,3%,85%,4%,1%,1%,69%,75%,3.50,640,640,22-27,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,3033,74%,18%,Yes,Priority,3/1/2025,,$46940,$11370,No,$28106,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$69000
Elon University,,North Carolina,2400,6045,2.00%,5%,80%,6%,1%,1%,78%,84%,3.60,660,670,25-29,4.0,,"Biology, Chemistry, Physics",Biology,2,2,9623,67%,25%,Yes,Priority,11/10/2025,1/10/2025,$33829,,Yes,$30170,,$40000
Emory University,,Georgia,3547,6776,20.00%,8%,41%,9%,1%,1%,82%,91%,3.80,780,740,30-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,2,23747,22%,27%,Yes,Decision,11/1/2025,1/1/2025,$50590,$14456,Yes,$29217,,$135000
Endicott College,,Massachusetts,1700,3205,1.00%,2%,83%,4%,1%,1%,71%,75%,3.30,600,610,22-26,4.0,,"Biology, Chemistry",Biology,1,2,3623,81%,25%,No,Priority,2/15/2025,2/15/2025,$30612,$14500,No,$41901,,$44000
Fairfield University,,Connecticut,1987,4103,3.00%,2%,77%,7%,1%,1%,78%,81%,3.70,680,660,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,11361,60%,16%,Yes,,,1/15/2025,$47650,$14710,Yes,$38596,,$103000
Florida State University,,Florida,1925,32699,2.00%,8%,62%,20%,1%,1%,63%,80%,3.70,660,670,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,1,35334,49%,38%,Yes,Priority,11/1/2025,2/7/2025,$19806,$10458,No,$22912,,$111000
Fordham University ,,New York,28211,9403,10.00%,4%,55%,14%,1%,1%,74%,80%,3.70,710,700,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,45147,46%,11%,Yes,Priority,11/1/2025,1/1/2025,$49645,$17445,Yes,$25069,,$65000
Franklin & Marshall College,,Pennsylvania,8262,2298,5.00%,6%,56%,10%,1%,1%,78%,83%,3.80,750,690,28-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",4,3,6557,36%,26%,Yes,,,1/15/2025,$56450,$14050,Yes,$27149,,$92000
Franklin W. Olin College of Engineering ,,Massachusetts,2291,345,12.00%,3%,53%,9%,0%,0%,79%,91%,3.80,800,770,33-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",2,2,1162,13%,63%,Yes,,,1/2/2025,$49986,,No,$19196,,
Furman University ,,South Carolina,2163,2740,2.00%,6%,76%,5%,1%,0%,73%,81%,3.70,690,690,26-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,5002,61%,23%,Yes,Decision,11/1/2025,1/15/2025,$47968,$12750,Yes,$36846,,$63000
George Mason University,,Virginia,3861,24372,20.00%,11%,41%,14%,1%,1%,49%,71%,3.70,640,650,24-30,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,18993,81%,23%,Yes,Admit,11/1/2025,1/15/2025,$31118,$11090,No,$30132,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$133000
George Washington University,,"Washington, DC",11367,11244,10.00%,7%,54%,9%,1%,1%,72%,79%,3.85,700,690,27-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,25488,40%,25%,Yes,Decision,11/1/2025,1/5/2025,$53435,$13000,Yes,$33081,,$114000
Georgetown University,,"Washington, DC",11367,7124,10.00%,6%,54%,10%,0%,1%,90%,95%,3.90,760,760,30-34,4.0,,Biology,Biology,2,2,21462,16%,47%,No,Admit,11/1/2025,1/10/2025,$50547,,No,$23067,,$198000
